Date,Close
8/22/2017,148.28
8/23/2017,147.19
8/24/2017,146.87
8/25/2017,147.58
8/28/2017,148.33
8/29/2017,147.21
8/30/2017,146.7
8/31/2017,149.31
9/1/2017,149.41
9/5/2017,147.82
9/6/2017,152.09
9/7/2017,155.84
9/8/2017,156.94
9/11/2017,159.24
9/12/2017,156.36
9/13/2017,157.68
9/14/2017,151.68
9/15/2017,149.88
9/18/2017,148.42
9/19/2017,148.37
9/20/2017,150.18
9/21/2017,152.57
9/22/2017,154.01
9/25/2017,154.51
9/26/2017,154.88
9/27/2017,155.95
9/28/2017,153.72
9/29/2017,153.61
10/2/2017,155.26
10/3/2017,153.99
10/4/2017,153.61
10/5/2017,153.72
10/6/2017,151.29
10/9/2017,148.14
10/10/2017,149.41
10/11/2017,149.94
10/12/2017,150.67
10/13/2017,147.17
10/16/2017,146.61
10/17/2017,146.41
10/18/2017,146.21
10/19/2017,149.96
10/20/2017,150.78
10/23/2017,148.3
10/24/2017,149.75
10/25/2017,151.38
10/26/2017,143.54
10/27/2017,135.62
10/30/2017,135.02
10/31/2017,137.88
11/1/2017,139.67
11/2/2017,137.06
11/3/2017,137.61
11/6/2017,135.21
11/7/2017,136.93
11/8/2017,140.36
11/9/2017,140.11
11/10/2017,137.61
11/13/2017,138.05
11/14/2017,136.17
11/15/2017,138.86
11/16/2017,142.7
11/17/2017,142.13
11/20/2017,138.24
11/21/2017,142.87
11/22/2017,145.8
11/24/2017,144.66
11/27/2017,144.85
11/28/2017,147.75
11/29/2017,148.12
11/30/2017,147.74
12/1/2017,146.39
12/4/2017,153.09
12/5/2017,150.69
12/6/2017,150.47
12/7/2017,150.01
12/8/2017,152.57
12/11/2017,153.81
12/12/2017,154.55
12/13/2017,155.21
12/14/2017,157.2
12/15/2017,162.6
12/18/2017,160.26
12/19/2017,159.97
12/20/2017,160.64
12/21/2017,159.39
12/22/2017,158.44
12/26/2017,158.9
12/27/2017,158.02
12/28/2017,157.73
12/29/2017,155.95
1/2/2018,159
1/3/2018,156.76
1/4/2018,155.06
1/5/2018,157.16
1/8/2018,159.15
1/9/2018,160.64
1/10/2018,160.67
1/11/2018,162.3
1/12/2018,166.25
1/16/2018,170.66
1/17/2018,172.83
1/18/2018,171.78
1/19/2018,170.36
1/22/2018,172.96
1/23/2018,170.6
1/24/2018,174.58
1/25/2018,175.2
1/26/2018,176.72
1/29/2018,176.33
1/30/2018,171.75
1/31/2018,168.88
2/1/2018,166.27
2/2/2018,159.21
2/5/2018,152.39
2/6/2018,152.52
2/7/2018,152.83
2/8/2018,150.23
2/9/2018,148.93
2/12/2018,149.02
2/13/2018,146.18
2/14/2018,148.77
2/15/2018,148.7
2/16/2018,150.5
2/20/2018,148.85
2/21/2018,149.59
2/22/2018,150.09
2/23/2018,152.65
2/26/2018,154.52
2/27/2018,153.68
2/28/2018,149.23
3/1/2018,146.54
3/2/2018,149.9
3/5/2018,151.31
3/6/2018,151.17
3/7/2018,151.75
3/8/2018,153.98
3/9/2018,155.79
3/12/2018,157.8
3/13/2018,157.69
3/14/2018,155.44
3/15/2018,153.96
3/16/2018,152.33
3/19/2018,147.62
3/20/2018,141.81
3/21/2018,142.92
3/22/2018,141.69
3/23/2018,139.04
3/26/2018,139.29
3/27/2018,138.75
3/28/2018,140.66
3/29/2018,140.87
4/2/2018,139.81
4/3/2018,140.53
4/4/2018,141.35
4/5/2018,142.61
4/6/2018,139.71
4/9/2018,140.03
4/10/2018,143.2
4/11/2018,143.08
4/12/2018,143.94
4/13/2018,142.85
4/16/2018,147.88
4/17/2018,149.5
4/18/2018,149.28
4/19/2018,147.1
4/20/2018,146.25
4/23/2018,148.33
4/24/2018,148.89
4/25/2018,151.71
4/26/2018,153.96
4/27/2018,158.13
4/30/2018,156.21
5/1/2018,154.21
5/2/2018,154.63
5/3/2018,146.59
5/4/2018,146.82
5/7/2018,144.28
5/8/2018,144.01
5/9/2018,144.81
5/10/2018,147.26
5/11/2018,149.21
5/14/2018,151.02
5/15/2018,149.59
5/16/2018,150.16
5/17/2018,150.99
5/18/2018,148.92
5/21/2018,146.5
5/22/2018,146.44
5/23/2018,146.83
5/24/2018,144.03
5/25/2018,145.81
5/29/2018,141.22
5/30/2018,144.43
5/31/2018,141.94
6/1/2018,142.24
6/4/2018,142.8
6/5/2018,143.77
6/6/2018,145.64
6/7/2018,145.63
6/8/2018,145.37
6/11/2018,145.21
6/12/2018,145.54
6/13/2018,149.52
6/14/2018,150
6/15/2018,150
6/18/2018,146.04
6/19/2018,146.74
6/20/2018,146.74
6/21/2018,146.46
6/22/2018,148.88
6/25/2018,146.07
6/26/2018,144.93
6/27/2018,144.66
6/28/2018,135.8
6/29/2018,133.4
7/2/2018,134.88
7/3/2018,134.57
7/5/2018,136.04
7/6/2018,137.88
7/9/2018,138.27
7/10/2018,138.52
7/11/2018,134.7
7/12/2018,135.98
7/13/2018,136.59
7/16/2018,135.58
7/17/2018,134.58
7/18/2018,134.34
7/19/2018,133.81
